Taxon	SC7493	SC7090	SC7285	SC7278	SC7494	SC7483	SC7288	SC7492	SC7482	SC7276	SC7291	SC7489	SC7289	SC7480	SC7290	SC7485	SC7277	SC7283	SC7294	SC7481	SC7281	SC7280	SC7293	SC7282	SC7477	SC7295	SC7484	B6donor	SC7279	SC1995	SC7496	SC1900	SC7292	SC7478	SC1993	SC7299	SC7576	SC7499	SC7287	SC7495	SC7296	SC7297	SC7498	SC7578	SC7490	SC7298	SC7491	SC7479	SC7488	SC7286	SC7497	SC7577	SC7476	SC7486	SC7487
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae	0.0	0.0	0.0	0.0	0.0	2.79782888479e-05	0.0	0.0	0.0	1.69695735546e-05	0.0	0.0	1.80212650928e-05	2.01592581393e-05	1.37999558401e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.87807054151e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermacoccaceae	0.0	0.0	0.0	0.0	2.87505031338e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.80212650928e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3878865264e-05	4.31710581226e-05	3.36066675628e-05	0.0	0.0	7.38034613823e-05	4.72110096074e-05	5.82971405253e-05	0.0	0.0	0.0	0.0	3.14826766572e-05	2.25575782184e-05	0.0	2.7283640729e-05	2.54614894971e-05	2.7695460714e-05	1.7047972996e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.3970468383e-05	0.0	0.0	0.0	2.38726157225e-05	0.0	2.41709368655e-05	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.91485702626e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3970468383e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81888653982e-05	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69695735546e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07262477201e-05	0.0	0.0	1.43903527075e-05	0.0	0.0	0.0	0.0	2.36055048037e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	2.81618744544e-05	2.32531101035e-05	5.38531961872e-05	2.23194357647e-05	0.0	2.79782888479e-05	0.0	0.0	0.0	1.69695735546e-05	2.78574811266e-05	2.77654375833e-05	1.80212650928e-05	4.03185162786e-05	1.37999558401e-05	0.0	0.0	2.76977620208e-05	2.07262477201e-05	0.0	1.3878865264e-05	0.0	0.0	0.0	2.56180350967e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.36038332625e-05	1.57413383286e-05	0.0	3.12685657109e-05	2.7283640729e-05	0.0	8.3086382142e-05	0.0	2.70489586151e-05	0.0	2.5235319353e-05	3.28947368421e-05	0.0	0.0	0.0	3.06109954696e-05	4.87305686857e-05	2.99958005879e-05	0.0	0.0	0.0	0.0	2.81888653982e-05	3.04395470595e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	0.0	0.0	0.0	0.0	2.87505031338e-05	0.0	0.0	0.0	0.0	1.69695735546e-05	0.0	0.0	0.0	0.0	0.0	5.53235041908e-05	2.32671769934e-05	2.76977620208e-05	2.07262477201e-05	1.76834659593e-05	0.0	1.43903527075e-05	0.0	0.0	0.0	0.0	2.36055048037e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5235319353e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae	0.0	0.0	2.69265980936e-05	0.0	0.0	0.0	2.75649153757e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4567281458e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3970468383e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae	0.0	0.0	0.0	0.0	0.0	0.0	2.75649153757e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae	0.0	0.0	0.0	0.0	0.0	2.79782888479e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.80212650928e-05	0.0	0.0	0.0	0.0	2.76977620208e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7283640729e-05	0.0	2.7695460714e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43652843429e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36038332625e-05	1.57413383286e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99958005879e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sanguibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7283640729e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59107633311e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sporichthyaceae	0.0	2.32531101035e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69695735546e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	0.0	0.0	0.0	2.23194357647e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	5.63237489087e-05	9.30124404139e-05	2.69265980936e-05	6.6958307294e-05	0.0	2.79782888479e-05	5.51298307514e-05	6.04138347682e-05	1.93397412343e-05	8.48478677731e-05	2.78574811266e-05	5.55308751666e-05	5.40637952784e-05	2.01592581393e-05	1.37999558401e-05	8.29852562861e-05	9.30687079737e-05	0.000110791048083	4.14524954402e-05	1.76834659593e-05	8.32731915839e-05	4.31710581226e-05	6.72133351257e-05	0.0	5.12360701934e-05	3.69017306912e-05	2.36055048037e-05	5.82971405253e-05	1.87694733286e-05	0.000108592371386	0.0	2.36038332625e-05	0.0001101893683	0.0	0.0	5.4567281458e-05	0.0	2.7695460714e-05	0.000102287837976	5.40979172302e-05	2.5117423957e-05	0.000100941277412	6.57894736842e-05	4.89380444357e-05	5.18215266622e-05	2.3970468383e-05	6.12219909391e-05	2.43652843429e-05	0.00014997900294	4.7745231445e-05	0.0	2.41709368655e-05	7.35429306858e-05	8.45665961945e-05	3.04395470595e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.000816694359177	0.000697593303104	0.00107706392374	0.00218730470494	0.00491633603588	0.00209837166359	0.00421743205248	0.0108140764235	0.00117972421529	0.000831509104176	0.00115608546675	0.00272101288316	0.00111731843575	0.00137082955347	0.000910797085449	0.0158778457027	0.00125642755764	0.00135719033902	0.000974133642845	0.000335985853227	0.000985399433742	0.000849030809745	0.00119303669848	7.83545543585e-05	0.000691686947611	3.69017306912e-05	0.00167599084106	0.00107849709972	0.00101355155974	0.00211755124203	0.000626546787381	0.00120379549639	0.000850032269744	0.000924860706955	0.00218879959976	0.00122776383281	0.00134945894335	0.00299110975711	0.00395512973507	0.000784419799838	0.00108004923015	0.000782294899942	0.00513157894737	0.00345013213272	0.00336839923304	0.00115058248238	0.00146932778254	0.00209541445349	0.00662907192993	0.00472677791306	0.00291003653025	0.00667117857488	0.000956058098915	0.00394644115574	0.00852307317667
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.08114997876e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93397412343e-05	0.0	0.0	0.0	0.0	0.0	1.37999558401e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87694733286e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__	0.0	2.32531101035e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43652843429e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41709368655e-05	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.00551972739306	0.000348796651552	0.00153481609134	0.0033479153647	0.00575010062676	0.00484024397068	0.00443795137549	0.000211448421689	0.00498965323844	0.0012727180166	0.00555756748475	0.00297090182141	0.00722652730222	0.000967644390686	0.00518878339589	0.0012171170922	0.00563065683241	0.00260358962996	0.00511938318687	0.00735632183908	0.00353911064231	0.0074398123498	0.0075951068692	0.0101860920666	0.00366337901883	0.00262002287907	0.0094894129311	0.000728714256566	0.00741394196479	0.00336636351296	0.00639077723129	0.00177028749469	1.57413383286e-05	0.000744400081207	0.00275163378256	0.0016915857252	0.00471037555697	0.00456975101781	0.000733062838828	0.00876386259129	0.0057267726622	0.00272541449012	0.00430921052632	0.0125526083978	0.00243561175312	0.00134234622945	0.00244887963757	0.000950246089372	0.00167976483292	0.00233951634081	0.00402451860566	0.00995842598859	0.000808972237544	0.00439746300211	0.000943625958846
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.000366104367907	0.000418555981863	0.000161559588562	8.92777430587e-05	0.000143752515669	0.000195848021935	0.000220519323006	3.02069173841e-05	5.80192237028e-05	0.000339391471092	0.000153216146196	0.000194358063083	0.000288340241485	0.000221751839532	0.000206999337602	0.000110647008382	0.000302473300914	0.000609350764458	6.21787431603e-05	0.00026525198939	0.000194304113696	0.000460491286641	0.000319263341847	0.0	0.000256180350967	0.000184508653456	0.000141633028822	0.000116594281051	7.50778933143e-05	0.000624406135469	0.000125309357476	0.000684511164613	0.000251861413257	0.000315806095058	0.000218879959976	0.000136418203645	0.000101845957989	0.000166172764284	0.000289815540932	0.000324587503381	0.000125587119785	0.000227117874177	6.57894736842e-05	0.000122345111089	0.000181375343318	0.000143822810298	0.000214276968287	0.000633497392915	5.99916011758e-05	9.549046289e-05	9.28735062844e-05	0.000241709368655	0.000110314396029	5.63777307963e-05	6.08790941191e-05
